G1 G2 G3 G4 G5 G6 G7 G8 G9 G10 G11 G12 G13 G14 G15
3 2 3 2 2 2 3 3 2 3 3 2 3 2 3
1 3 2 3 2 2 2 2 3 2 1 3 3 3 2
1 3 3 1 3 1 3 3 2 2 1 3 3 3 2
3 1 2 3 2 3 2 2 3 3 2 2 3 3 2
2 3 3 3 3 3 2 3 3 1 2 2 3 2 3
3 3 3 3 3 3 3 3 2 3 3 3 3 3 2
1 1 3 3 2 2 3 3 3 2 3 3 3 2 2
2 3 3 3 3 2 3 2 2 3 3 3 3 2 2
3 2 3 2 3 2 3 2 3 3 2 3 2 3 2
1 3 2 3 2 2 2 2 3 2 1 3 3 3 2
3 3 2 3 1 3 2 2 3 3 1 3 1 3 3
3 3 3 3 2 3 2 3 2 1 1 2 2 3 2
3 3 3 2 3 3 3 2 3 3 3 3 3 3 3
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
3 2 2 2 2 2 2 2 2 3 3 2 2 2 3
1 1 2 3 3 2 2 2 3 3 2 2 2 3 3
2 2 3 3 3 3 3 3 3 1 3 1 3 3 2
3 2 2 3 3 3 3 3 3 3 3 3 2 3 3
2 3 2 2 2 3 3 2 3 3 3 3 3 2 3
2 2 2 2 2 3 3 2 2 2 2 2 2 2 2
2 2 3 3 2 3 3 2 3 2 2 2 3 3 2
2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
2 3 3 3 2 3 3 2 2 1 3 3 2 3 3
2 1 3 2 1 2 3 2 3 3 3 2 3 2 3
3 2 3 2 2 3 3 3 3 2 3 2 2 3 3
3 2 2 3 3 1 3 3 3 3 3 3 3 2 3
2 3 3 3 3 2 3 3 2 3 3 3 3 2 3
3 3 3 3 3 3 2 3 3 2 2 3 3 2 3
2 2 2 2 2 3 2 2 2 2 3 3 2 3 3
2 2 3 2 3 3 3 3 2 2 3 3 2 3 3
1 1 2 3 3 3 3 2 2 2 1 2 2 2 3
3 2 3 2 3 2 3 3 3 2 3 3 3 3 2
1 1 3 2 3 2 2 2 2 1 3 3 3 3 3
2 2 3 3 2 3 2 3 3 1 1 2 1 1 1
1 1 2 2 2 3 3 2 3 3 1 1 1 1 1
3 1 3 2 2 2 2 3 3 2 2 2 1 1 3
1 3 3 3 2 2 3 2 2 2 3 2 3 3 3
3 3 2 2 3 2 2 2 2 2 2 2 2 3 3
2 2 2 2 2 3 3 2 3 2 2 3 2 3 3
2 3 2 3 3 3 3 3 3 3 3 3 3 3 3
2 2 2 2 2 3 3 2 3 2 2 3 3 3 3
2 2 3 3 3 3 3 3 3 3 3 3 3 3 2
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
3 2 3 3 3 3 3 3 3 3 3 2 3 3 2
2 3 2 2 3 3 2 2 2 2 3 3 2 2 3
3 2 3 3 3 3 3 3 3 3 3 3 3 3 3
1 2 2 1 1 3 3 2 2 2 1 2 1 1 1
2 2 2 2 2 2 2 2 3 2 3 3 3 3 3
3 1 3 2 3 2 2 2 3 1 3 3 3 2 3
1 1 3 1 2 3 2 3 2 3 3 1 2 2 2
3 2 1 1 1 2 2 1 2 3 3 3 2 2 3
2 3 2 2 2 3 3 2 3 3 3 3 3 2 3
3 1 1 1 3 3 3 2 3 2 1 2 2 2 3
3 2 2 1 3 2 3 1 2 2 1 2 1 2 2
2 3 2 2 3 2 3 2 3 3 2 3 3 3 2
2 3 3 2 3 2 2 3 2 2 2 3 3 1 3
2 1 3 3 2 3 2 3 2 2 3 3 2 2 3
2 3 2 2 3 2 3 2 3 3 2 3 2 3 2
1 1 3 1 1 3 1 1 2 2 1 1 1 1 1
2 3 3 3 2 3 3 2 2 2 3 3 2 3 3
3 3 3 2 3 2 2 3 2 3 2 2 3 3 3
2 2 2 2 2 2 2 2 2 1 2 2 3 2 2
2 2 2 2 3 2 2 3 2 2 2 2 3 2 3
1 3 2 1 2 3 2 2 1 3 3 2 3 3 3
2 3 3 3 3 3 3 3 3 3 3 3 3 3 3
3 2 2 2 3 3 3 3 3 3 3 3 2 3 3
2 2 3 3 3 3 3 3 3 3 3 3 3 3 3
1 2 2 1 1 1 2 1 2 2 1 1 1 1 1
2 3 3 3 3 3 3 2 2 3 3 3 3 3 3
1 1 3 1 3 2 2 3 2 1 2 3 1 3 2
2 3 2 2 3 3 3 2 3 3 3 3 3 2 3
2 2 3 2 3 3 3 2 3 2 3 3 2 2 2
2 3 1 3 2 2 3 3 2 3 2 3 1 2 1
2 3 2 2 2 3 3 2 3 3 3 3 3 2 3
3 2 2 3 3 3 3 3 3 3 3 3 2 3 3
2 2 3 3 3 3 2 2 2 3 2 2 2 2 2
3 2 3 3 3 3 3 3 3 3 3 2 3 3 2
