G1 G2 G3 G4 G5 G6 G7 G8 G9 G10 G11 G12 G13 G14 G15 Gestion_Academica
3 4 3 4 4 4 3 3 2 3 3 4 3 4 3 50
1 3 4 3 2 4 2 2 3 2 1 3 3 3 4 40
1 5 3 1 3 1 5 3 4 2 1 5 3 3 4 44
3 1 2 3 4 3 2 2 3 3 4 4 5 5 4 48
4 3 3 3 5 3 2 3 3 1 2 2 3 2 3 42
3 3 3 3 3 3 3 3 2 5 5 5 5 3 2 51
1 1 3 3 2 4 3 3 3 2 3 3 3 2 4 40
4 3 3 3 3 4 3 2 2 3 3 3 3 2 2 43
3 4 3 2 3 2 3 2 3 3 4 3 4 5 4 48
1 3 4 3 2 4 2 2 3 2 1 3 3 3 4 40
3 3 2 3 1 3 4 2 3 3 1 3 1 3 3 38
3 3 3 3 4 3 4 3 4 1 1 4 4 5 4 49
5 5 5 4 5 5 5 4 5 5 5 5 5 5 5 73
5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 75
5 4 4 4 4 4 2 2 2 5 3 4 4 4 5 56
1 1 4 5 3 4 2 2 3 3 4 4 4 5 5 50
4 4 3 3 3 3 3 5 3 1 3 1 3 5 4 48
5 4 4 3 3 5 3 3 3 5 5 5 4 5 5 62
4 3 4 4 4 5 3 4 3 3 5 5 5 4 5 61
4 4 4 4 4 5 5 4 4 2 4 4 4 4 4 60
4 4 3 3 4 3 3 4 3 2 4 4 3 3 4 51
4 4 4 4 4 4 4 4 4 2 4 4 4 4 4 58
4 3 5 5 4 3 3 4 4 1 3 5 4 5 5 58
4 1 3 4 1 4 3 2 3 3 3 2 3 2 3 41
3 4 3 4 4 3 3 3 3 2 3 4 4 3 3 49
5 4 4 3 3 1 3 3 3 3 3 3 3 4 3 48
2 3 3 3 3 4 3 3 2 3 3 3 3 4 5 47
3 3 3 5 5 3 4 3 5 2 2 3 3 2 3 49
4 4 4 4 4 5 4 4 4 4 5 5 4 5 5 65
4 4 3 4 3 3 3 3 2 2 3 3 2 3 3 45
1 1 2 3 5 5 3 4 4 4 1 4 4 4 5 50
3 4 3 4 3 4 3 5 3 2 3 3 3 5 4 52
1 1 3 4 3 4 4 2 2 1 3 3 3 3 3 40
2 2 5 5 4 5 2 3 3 1 1 4 1 1 1 40
1 1 4 4 4 3 3 4 3 3 1 1 1 1 1 35
3 1 3 4 2 2 4 3 3 2 2 2 1 1 3 36
1 3 3 3 4 2 3 4 2 4 3 2 3 3 3 43
3 3 2 2 3 4 4 4 4 2 4 4 4 3 3 49
4 4 4 4 4 5 5 4 5 4 4 5 4 5 5 66
4 3 4 5 5 5 5 5 5 5 5 5 5 5 5 71
4 4 4 4 4 5 5 4 5 4 4 5 5 5 5 67
4 4 5 5 5 5 5 5 5 5 5 5 5 3 4 70
3 5 5 5 5 5 5 5 5 5 5 5 5 5 5 73
3 4 3 5 5 5 5 5 5 3 3 4 3 3 4 60
4 3 4 4 5 5 4 4 4 4 5 5 4 4 5 64
5 4 5 5 5 5 5 5 5 5 5 5 5 5 5 74
1 2 2 1 1 3 3 2 2 2 1 2 1 1 1 25
4 4 4 4 4 4 4 4 5 4 5 5 5 5 5 66
3 1 5 4 3 4 4 4 3 1 3 3 3 4 3 48
1 1 3 1 4 5 4 3 2 3 3 1 2 2 2 37
3 2 1 1 1 4 4 1 2 3 3 3 4 4 3 39
4 3 4 4 4 5 5 4 3 5 5 5 3 4 5 63
3 1 1 1 3 3 3 4 3 2 1 4 4 4 5 42
3 4 4 1 3 4 3 1 2 2 1 4 1 2 4 39
4 3 4 4 3 4 3 4 3 3 4 3 3 3 4 52
4 3 3 4 3 4 4 3 4 4 4 3 3 1 3 50
4 1 3 3 4 3 2 3 2 2 3 3 2 4 3 42
4 3 4 4 3 4 3 4 3 3 4 3 4 3 4 53
1 1 3 1 1 3 1 1 2 2 1 1 1 1 1 21
4 3 5 5 4 3 3 4 4 2 3 5 4 5 5 59
3 3 3 4 3 4 4 3 4 3 2 2 3 3 3 47
2 2 2 2 2 2 2 2 2 1 2 2 3 4 2 32
2 2 2 2 3 2 2 3 2 2 2 4 3 4 3 38
1 3 2 1 2 3 2 2 1 3 3 2 3 3 3 34
4 5 5 5 5 5 5 5 5 5 5 5 3 5 5 72
5 4 4 4 3 5 3 5 5 5 5 5 4 5 5 67
4 4 5 5 5 5 5 5 5 5 5 5 5 5 5 73
1 2 2 1 1 1 2 1 2 2 1 1 1 1 1 20
4 5 5 5 5 3 5 4 4 5 5 5 5 5 5 70
1 1 3 1 3 2 2 3 2 1 2 3 1 3 2 30
4 3 4 4 5 5 5 4 3 5 5 5 3 4 5 64
4 4 5 4 5 5 5 4 3 4 5 5 4 4 4 65
2 3 1 3 2 2 3 3 2 3 2 3 1 2 1 33
4 3 4 4 4 5 3 4 3 3 5 5 3 4 5 59
5 4 4 3 3 5 3 5 5 5 5 5 4 5 5 66
4 4 5 5 5 5 4 4 4 5 4 4 4 4 4 65
3 4 3 3 3 5 5 5 5 3 3 4 3 3 4 56
3 3 4 4 5 4 4 4 4 3 4 4 4 4 4 58
4 3 4 4 4 5 3 4 3 5 3 5 3 4 5 59
5 4 4 3 3 5 3 3 3 4 5 5 4 5 5 61
3 1 3 4 2 2 4 3 3 2 2 2 1 1 3 36
3 3 3 3 3 4 2 2 3 2 2 4 4 3 2 43
3 4 4 4 4 3 3 3 2 2 3 5 4 5 5 54
3 3 3 3 3 3 3 3 3 4 5 5 5 3 2 51
3 3 1 4 4 4 3 3 4 4 4 4 4 5 5 55
3 3 5 5 5 5 5 4 5 1 1 3 3 5 3 56
4 3 4 4 4 5 3 4 5 5 5 5 5 5 5 66
4 3 4 3 4 4 3 3 4 3 3 4 4 3 4 53
