ID Ciudad Genero Edad Experiencia_Profesional Estrato_Social Estado_Civil Grado_Instruccion Salario
1 Otros Femenino 45 23 2 Soltero Bachiller 12455
2 Arequipa Femenino 44 20 1 Divorciado Magister 5136
3 Otros Femenino 35 15 1 Divorciado Colegio 4494
4 Otros Femenino 36 7 2 Divorciado Colegio 6151
5 Trujillo Masculino 28 7 1 Casado Magister 3257
6 Arequipa Masculino 33 6 1 Divorciado Doctor 3153
7 Lima Masculino 25 0 2 Divorciado Doctor 5435
8 Lima Masculino 25 6 3 Soltero Doctor 13877
9 Otros Femenino 23 0 2 Soltero Colegio 5262
10 Trujillo Masculino 43 29 1 Soltero Bachiller 7282
11 Tumbes Femenino 46 20 1 Soltero Colegio 5538
12 Lima Masculino 31 0 1 Divorciado Colegio 1739
13 Lima Femenino 24 0 2 Soltero Bachiller 4854
14 Tumbes Masculino 34 4 1 Soltero Magister 2374
15 Piura Femenino 57 35 2 Viudo Bachiller 14875
16 Lima Femenino 55 29 1 Viudo Bachiller 7119
17 Lima Masculino 18 0 2 Viudo Colegio 5171
18 Trujillo Masculino 31 13 1 Soltero Bachiller 4137
19 Otros Masculino 50 20 3 Viudo Bachiller 22695
20 Lima Masculino 35 17 1 Divorciado Magister 4653
21 Arequipa Femenino 51 28 1 Casado Colegio 7126
22 Arequipa Femenino 32 0 1 Casado Colegio 1446
23 Arequipa Femenino 41 13 2 Viudo Bachiller 8448
24 Arequipa Femenino 37 12 3 Soltero Bachiller 17206
25 Lima Femenino 65 35 1 Divorciado Bachiller 8261
26 Trujillo Masculino 44 20 1 Viudo Bachiller 5716
27 Otros Femenino 23 0 1 Soltero Bachiller 1658
28 Arequipa Femenino 29 6 3 Viudo Magister 12228
29 Arequipa Femenino 39 26 1 Viudo Bachiller 6751
30 Trujillo Femenino 18 0 1 Viudo Bachiller 1249
31 Trujillo Masculino 18 0 2 Soltero Doctor 4047
32 Otros Masculino 24 2 1 Soltero Doctor 2230
33 Trujillo Masculino 32 7 1 Divorciado Bachiller 3181
34 Tumbes Masculino 47 15 1 Divorciado Colegio 4512
35 Tumbes Femenino 32 6 1 Viudo Bachiller 1982
36 Tumbes Masculino 37 8 3 Soltero Colegio 15813
37 Otros Femenino 34 6 2 Viudo Bachiller 7428
38 Piura Masculino 28 2 1 Divorciado Bachiller 1753
39 Lima Masculino 49 21 2 Viudo Bachiller 10620
40 Piura Masculino 24 0 2 Divorciado Magister 6972
41 Arequipa Femenino 33 14 3 Divorciado Colegio 15081
42 Lima Femenino 32 5 2 Casado Bachiller 5868
43 Trujillo Masculino 40 26 2 Soltero Bachiller 13081
44 Otros Masculino 51 31 1 Divorciado Bachiller 8071
45 Trujillo Masculino 40 15 3 Soltero Bachiller 18726
46 Piura Masculino 49 25 1 Viudo Bachiller 6926
47 Tumbes Masculino 43 20 2 Divorciado Doctor 12810
